userId;movieId;tag;timestamp;date
2;60756;funny;1445714994;24/10/2015 19:29
2;60756;Highly quotable;1445714996;24/10/2015 19:29
2;60756;will ferrell;1445714992;24/10/2015 19:29
2;89774;Boxing story;1445715207;24/10/2015 19:33
2;89774;MMA;1445715200;24/10/2015 19:33
2;89774;Tom Hardy;1445715205;24/10/2015 19:33
2;106782;drugs;1445715054;24/10/2015 19:30
2;106782;Leonardo DiCaprio;1445715051;24/10/2015 19:30
2;106782;Martin Scorsese;1445715056;24/10/2015 19:30
7;48516;way too long;1169687325;25/01/2007 01:08
18;431;Al Pacino;1462138765;01/05/2016 21:39
18;431;gangster;1462138749;01/05/2016 21:39
18;431;mafia;1462138755;01/05/2016 21:39
18;1221;Al Pacino;1461699306;26/04/2016 19:35
18;1221;Mafia;1461699303;26/04/2016 19:35
18;5995;holocaust;1455735472;17/02/2016 18:57
18;5995;true story;1455735479;17/02/2016 18:57
18;44665;twist ending;1456948283;02/03/2016 19:51
18;52604;Anthony Hopkins;1457650696;10/03/2016 22:58
18;52604;courtroom drama;1457650711;10/03/2016 22:58
18;52604;twist ending;1457650682;10/03/2016 22:58
18;88094;britpop;1457444500;08/03/2016 13:41
18;88094;indie record label;1457444592;08/03/2016 13:43
18;88094;music;1457444609;08/03/2016 13:43
18;144210;dumpster diving;1455060381;09/02/2016 23:26
18;144210;Sustainability;1455060452;09/02/2016 23:27
21;1569;romantic comedy;1419805413;28/12/2014 22:23
21;1569;wedding;1419805419;28/12/2014 22:23
21;118985;painter;1419805477;28/12/2014 22:24
21;119141;bloody;1419793962;28/12/2014 19:12
49;109487;black hole;1493093306;25/04/2017 04:08
49;109487;sci-fi;1493093332;25/04/2017 04:08
49;109487;time-travel;1493093356;25/04/2017 04:09
62;2;fantasy;1528843929;12/06/2018 22:52
62;2;magic board game;1528843932;12/06/2018 22:52
62;2;Robin Williams;1528843907;12/06/2018 22:51
62;110;beautiful scenery;1528152541;04/06/2018 22:49
62;110;epic;1528152532;04/06/2018 22:48
62;110;historical;1528152523;04/06/2018 22:48
62;110;inspirational;1528152527;04/06/2018 22:48
62;110;Medieval;1528152528;04/06/2018 22:48
62;110;mel gibson;1528152521;04/06/2018 22:48
62;110;Oscar (Best Cinematography);1528152539;04/06/2018 22:48
62;110;revenge;1528152531;04/06/2018 22:48
62;110;sword fight;1528152535;04/06/2018 22:48
62;410;black comedy;1525636607;06/05/2018 19:56
62;410;Christina Ricci;1525636685;06/05/2018 19:58
62;410;Christopher Lloyd;1525636622;06/05/2018 19:57
62;410;dark comedy;1525636610;06/05/2018 19:56
62;410;family;1525636708;06/05/2018 19:58
62;410;gothic;1525636609;06/05/2018 19:56
62;2023;Al Pacino;1525636728;06/05/2018 19:58
62;2023;Andy Garcia;1525636768;06/05/2018 19:59
62;2023;Classic;1525636752;06/05/2018 19:59
62;2023;Francis Ford Coppola;1525636752;06/05/2018 19:59
62;2023;mafia;1525636733;06/05/2018 19:58
62;2124;black comedy;1525636847;06/05/2018 20:00
62;2124;Christina Ricci;1525636867;06/05/2018 20:01
62;2124;Christopher Lloyd;1525636859;06/05/2018 20:00
62;2124;Family;1525636855;06/05/2018 20:00
62;2124;gothic;1525636849;06/05/2018 20:00
62;2124;quirky;1525636846;06/05/2018 20:00
62;2953;family;1525636883;06/05/2018 20:01
62;2953;funny;1525636885;06/05/2018 20:01
62;2953;Macaulay Culkin;1525636890;06/05/2018 20:01
62;2953;sequel;1525636887;06/05/2018 20:01
62;3114;animation;1525636903;06/05/2018 20:01
62;3114;Disney;1525636902;06/05/2018 20:01
62;3114;funny;1525636913;06/05/2018 20:01
62;3114;original;1525636917;06/05/2018 20:01
62;3114;Pixar;1525636901;06/05/2018 20:01
62;3114;sequel;1525636910;06/05/2018 20:01
62;3114;Tom Hanks;1525636925;06/05/2018 20:02
62;3578;ancient Rome;1528152504;04/06/2018 22:48
62;3578;Epic;1528152469;04/06/2018 22:47
62;3578;history;1528152467;04/06/2018 22:47
62;3578;imdb top 250;1528152498;04/06/2018 22:48
62;3578;revenge;1528152496;04/06/2018 22:48
62;3578;Rome;1528152463;04/06/2018 22:47
62;3578;Russell Crowe;1528152465;04/06/2018 22:47
62;4223;Ed Harris;1528024869;03/06/2018 11:21
62;4223;Jude Law;1528024854;03/06/2018 11:20
62;4223;Rachel Weisz;1528024873;03/06/2018 11:21
62;4223;sniper;1528024852;03/06/2018 11:20
62;4223;World War II;1528024877;03/06/2018 11:21
62;5388;Al Pacino;1530310809;29/06/2018 22:20
62;5388;atmospheric;1530310959;29/06/2018 22:22
62;5388;Hilary Swank;1530310952;29/06/2018 22:22
62;5388;Robin Williams;1530310811;29/06/2018 22:20
62;6058;sequel;1525555053;05/05/2018 21:17
62;6058;violent;1525555051;05/05/2018 21:17
62;6534;dogs;1525554096;05/05/2018 21:01
62;6534;Eric Bana;1525554086;05/05/2018 21:01
62;6534;mad scientist;1525554098;05/05/2018 21:01
62;6534;marvel;1525554100;05/05/2018 21:01
62;6541;captain nemo;1525554054;05/05/2018 21:00
62;6541;comic book;1525554028;05/05/2018 21:00
62;6541;gothic;1525554056;05/05/2018 21:00
62;6541;Peta Wilson;1525554040;05/05/2018 21:00
